(55.0, 1.581946849822998)
(65.0, 0.038172006607055664)
(59.0, 0.1411426067352295)
(56.0, 0.4266929626464844)
-------------------------------------------All Solutions---------------------------------------------
(57.0, 1.4973371028900146)
(65.0, 0.035202980041503906)
(60.0, 0.13151192665100098)
(57.0, 0.42439913749694824)
-------------------------------------------All Solutions---------------------------------------------
(56.0, 1.5105998516082764)
(64.0, 0.03585624694824219)
(60.0, 0.13659119606018066)
(57.0, 0.42346811294555664)
-------------------------------------------All Solutions---------------------------------------------
(57.0, 1.4950346946716309)
(64.0, 0.03501319885253906)
(62.0, 0.1311490535736084)
(59.0, 0.4226539134979248)
-------------------------------------------All Solutions---------------------------------------------
(57.0, 1.5125370025634766)
(65.0, 0.03513383865356445)
(60.0, 0.13098812103271484)
(58.0, 0.42630887031555176)
-------------------------------------------All Solutions---------------------------------------------
(57.0, 1.5630409717559814)
(65.0, 0.03669285774230957)
(61.0, 0.13882756233215332)
(57.0, 0.4539527893066406)
-------------------------------------------All Solutions---------------------------------------------
(58.0, 1.5348622798919678)
(64.0, 0.03579902648925781)
(60.0, 0.13228201866149902)
(58.0, 0.42780590057373047)
-------------------------------------------All Solutions---------------------------------------------
(61.0, 1.5050342082977295)
(67.0, 0.03534507751464844)
(64.0, 0.13169288635253906)
(61.0, 0.42562294006347656)
-------------------------------------------All Solutions---------------------------------------------
(62.0, 1.5310990810394287)
(70.0, 0.03545689582824707)
(66.0, 0.14117717742919922)
(62.0, 0.4269728660583496)
-------------------------------------------All Solutions---------------------------------------------
(56.0, 1.5046851634979248)
(65.0, 0.03683805465698242)
(61.0, 0.1316847801208496)
(58.0, 0.4245567321777344)
-------------------------------------------All Solutions---------------------------------------------
